LISTADO ACIDENTES DONDE INTERVIENEN BICICLETAS MENSUAL;;;;ENERO  - MAYO 2017;;;

Fecha;TRAMO HORARIO;Nm Tot Victimas;DISTRITO;Lugar;Numero;Tipo Accidente;Tipo Vehiculo
13/03/2017 0:00;DE 8:00 A 8:59;1;CENTRO                        ;CALLE DE SAN BERNARDO - CALLE DE SAN VICENTE FERRER                                                 ;;COLISIÓN DOBLE                          ;BICICLETA  
14/03/2017 0:00;DE 9:00 A 9:59;1;FUENCARRAL-EL PARDO           ;CALLE DE LA COSTA BRAVA                                                                           ;17;COLISIÓN DOBLE                          ;BICICLETA  
14/03/2017 0:00;DE 21:00 A 21:59;1;ARGANZUELA                    ;CALLE DE EMBAJADORES                                                                              ;76;CAÍDA BICICLETA                         ;BICICLETA  
15/03/2017 0:00;DE 17:00 A 17:59;1;TETUAN                        ;CALLE DE BRAVO MURILLO                                                                            ;288;COLISIÓN DOBLE                          ;BICICLETA  
15/03/2017 0:00;DE 19:00 A 19:59;2;CENTRO                        ;PLAZA DE GABRIEL MIRO                                                                             ;3;ATROPELLO                               ;BICICLETA  
16/03/2017 0:00;DE 14:00 A 14:59;1;CENTRO                        ;CALLE DEL CABALLERO DE GRACIA                                                                     ;36;CAÍDA BICICLETA                         ;BICICLETA  
16/03/2017 0:00;DE 20:00 A 20:59;1;SALAMANCA                     ;CALLE DE FRANCISCO SILVELA                                                                        ;50;COLISIÓN DOBLE                          ;BICICLETA  
17/03/2017 0:00;DE 13:00 A 13:59;1;CENTRO                        ;CALLE DE SAN BERNARDO - CALLE DEL PEZ                                                               ;;COLISIÓN DOBLE                          ;BICICLETA  
17/03/2017 0:00;DE 15:00 A 15:59;1;ARGANZUELA                    ;PASEO DE SANTA MARIA DE LA CABEZA                                                                 ;10;CAÍDA BICICLETA                         ;BICICLETA  
17/03/2017 0:00;DE 22:00 A 22:59;2;CHAMBERI                      ;CALLE DE LUCHANA - GLORIETA DE BILBAO                                                               ;;COLISIÓN DOBLE                          ;BICICLETA  
18/03/2017 0:00;DE 14:00 A 14:59;1;ARGANZUELA                    ;CALLE DE SEGOVIA                                                                                  ;57;CAÍDA BICICLETA                         ;BICICLETA  
19/03/2017 0:00;DE 10:00 A 10:59;1;CENTRO                        ;CALLE DE LA MONTERA - CALLE DE LOS JARDINES                                                         ;;CAÍDA BICICLETA                         ;BICICLETA  
19/03/2017 0:00;DE 18:00 A 18:59;1;RETIRO                        ;PASEO DEL FERNAN NUÑEZ                                                                              ;;ATROPELLO                               ;BICICLETA  
