day,month,year,deaths
17,JUL,2017,85
18,JUL,2017,68
19,JUL,2017,71
20,JUL,2017,65
21,JUL,2017,68
22,JUL,2017,95
23,JUL,2017,83
24,JUL,2017,84
25,JUL,2017,66
26,JUL,2017,78
27,JUL,2017,72
28,JUL,2017,80
29,JUL,2017,84
30,JUL,2017,90
31,JUL,2017,66
1,JUL,2018,0
2,JUL,2018,0
3,JUL,2018,0
4,JUL,2018,0
5,JUL,2018,0
6,JUL,2018,0
7,JUL,2018,0
8,JUL,2018,0
9,JUL,2018,0
10,JUL,2018,0
11,JUL,2018,0
12,JUL,2018,0
13,JUL,2018,0
14,JUL,2018,0
15,JUL,2018,0
16,JUL,2018,0
17,JUL,2018,0
18,JUL,2018,0
19,JUL,2018,0
20,JUL,2018,0
21,JUL,2018,0
22,JUL,2018,0
23,JUL,2018,0
24,JUL,2018,0
25,JUL,2018,0
26,JUL,2018,0
27,JUL,2018,0
28,JUL,2018,0
29,JUL,2018,0
30,JUL,2018,0
31,JUL,2018,0
1,AGO,2015,69
2,AGO,2015,72
3,AGO,2015,74
4,AGO,2015,92
5,AGO,2015,81
6,AGO,2015,83
7,AGO,2015,81
8,AGO,2015,89
9,AGO,2015,77
10,AGO,2015,74
11,AGO,2015,63
12,AGO,2015,87
13,AGO,2015,83
14,AGO,2015,72
15,AGO,2015,88
16,AGO,2015,58
17,AGO,2015,79
18,AGO,2015,71
19,AGO,2015,90
20,AGO,2015,77
21,AGO,2015,81
22,AGO,2015,75
23,AGO,2015,85
24,AGO,2015,100
25,AGO,2015,79
26,AGO,2015,73
27,AGO,2015,70
28,AGO,2015,73
29,AGO,2015,80
30,AGO,2015,78
31,AGO,2015,73
1,AGO,2016,65
2,AGO,2016,79
3,AGO,2016,78
4,AGO,2016,78
5,AGO,2016,54
6,AGO,2016,62
7,AGO,2016,78
8,AGO,2016,78
9,AGO,2016,75
10,AGO,2016,62
11,AGO,2016,76
12,AGO,2016,89
13,AGO,2016,77
14,AGO,2016,80
15,AGO,2016,69
16,AGO,2016,73
17,AGO,2016,72
18,AGO,2016,79
19,AGO,2016,76
20,AGO,2016,76
21,AGO,2016,73
22,AGO,2016,87
23,AGO,2016,68
24,AGO,2016,64
25,AGO,2016,82
26,AGO,2016,72
27,AGO,2016,73
28,AGO,2016,67
29,AGO,2016,76
30,AGO,2016,69
31,AGO,2016,65
1,AGO,2017,105
2,AGO,2017,73
3,AGO,2017,87
4,AGO,2017,82
5,AGO,2017,79
6,AGO,2017,70
7,AGO,2017,74
8,AGO,2017,67
9,AGO,2017,71
10,AGO,2017,73
11,AGO,2017,79
12,AGO,2017,77
13,AGO,2017,87
14,AGO,2017,70
15,AGO,2017,79
16,AGO,2017,71
17,AGO,2017,66
18,AGO,2017,70
19,AGO,2017,77
20,AGO,2017,70
21,AGO,2017,76
22,AGO,2017,65
23,AGO,2017,69
24,AGO,2017,73
25,AGO,2017,66
26,AGO,2017,73
27,AGO,2017,97
28,AGO,2017,57
29,AGO,2017,80
30,AGO,2017,62
31,AGO,2017,76
1,AGO,2018,0
2,AGO,2018,0
3,AGO,2018,0
4,AGO,2018,0
5,AGO,2018,0
6,AGO,2018,0
7,AGO,2018,0
8,AGO,2018,0
9,AGO,2018,0
10,AGO,2018,0
11,AGO,2018,0
12,AGO,2018,0
13,AGO,2018,0
14,AGO,2018,0
15,AGO,2018,0
16,AGO,2018,0
17,AGO,2018,0
18,AGO,2018,0
19,AGO,2018,0
20,AGO,2018,0
21,AGO,2018,0
22,AGO,2018,0
23,AGO,2018,0
24,AGO,2018,0
25,AGO,2018,0
26,AGO,2018,0
27,AGO,2018,0
28,AGO,2018,0
29,AGO,2018,0
30,AGO,2018,0
31,AGO,2018,0
1,SEP,2015,75
2,SEP,2015,77
3,SEP,2015,67
4,SEP,2015,71
5,SEP,2015,62
6,SEP,2015,77
7,SEP,2015,85
8,SEP,2015,84
9,SEP,2015,79
10,SEP,2015,66
11,SEP,2015,92
12,SEP,2015,79
13,SEP,2015,81
14,SEP,2015,70
15,SEP,2015,87
16,SEP,2015,70
17,SEP,2015,70
18,SEP,2015,76
20,SEP,2015,69
21,SEP,2015,70
22,SEP,2015,68
23,SEP,2015,70
24,SEP,2015,78
25,SEP,2015,60
26,SEP,2015,76
27,SEP,2015,78
28,SEP,2015,84
29,SEP,2015,83
30,SEP,2015,73
1,SEP,2016,75
2,SEP,2016,67
3,SEP,2016,78
4,SEP,2016,99
5,SEP,2016,89
6,SEP,2016,74
7,SEP,2016,67
8,SEP,2016,77
9,SEP,2016,90
10,SEP,2016,73
11,SEP,2016,78
12,SEP,2016,66
13,SEP,2016,88
14,SEP,2016,81
15,SEP,2016,91
16,SEP,2016,71
17,SEP,2016,68
18,SEP,2016,79
20,SEP,2016,79
21,SEP,2016,67
22,SEP,2016,97
23,SEP,2016,71
24,SEP,2016,79
25,SEP,2016,75
26,SEP,2016,82
27,SEP,2016,82
28,SEP,2016,81
29,SEP,2016,70
30,SEP,2016,91
1,SEP,2017,94
2,SEP,2017,69
3,SEP,2017,80
4,SEP,2017,84
5,SEP,2017,74
6,SEP,2017,83
7,SEP,2017,87
8,SEP,2017,94
9,SEP,2017,72
10,SEP,2017,98
11,SEP,2017,92
12,SEP,2017,80
13,SEP,2017,100
14,SEP,2017,79
15,SEP,2017,84
16,SEP,2017,80
17,SEP,2017,88
18,SEP,2017,78
20,SEP,2017,106
21,SEP,2017,124
22,SEP,2017,110
23,SEP,2017,109
24,SEP,2017,122
25,SEP,2017,137
26,SEP,2017,132
27,SEP,2017,122
28,SEP,2017,112
29,SEP,2017,131
30,SEP,2017,132
1,SEP,2018,0
2,SEP,2018,0
3,SEP,2018,0
4,SEP,2018,0
5,SEP,2018,0
6,SEP,2018,0
7,SEP,2018,0
8,SEP,2018,0
9,SEP,2018,0
10,SEP,2018,0
11,SEP,2018,0
12,SEP,2018,0
13,SEP,2018,0
14,SEP,2018,0
15,SEP,2018,0
16,SEP,2018,0
17,SEP,2018,0
18,SEP,2018,0
20,SEP,2018,0
21,SEP,2018,0
22,SEP,2018,0
23,SEP,2018,0
24,SEP,2018,0
25,SEP,2018,0
26,SEP,2018,0
27,SEP,2018,0
28,SEP,2018,0
29,SEP,2018,0
30,SEP,2018,0
1,OCT,2015,74
2,OCT,2015,84
3,OCT,2015,77
4,OCT,2015,99
5,OCT,2015,96
6,OCT,2015,68
7,OCT,2015,66
8,OCT,2015,79
9,OCT,2015,73
10,OCT,2015,74
11,OCT,2015,90
12,OCT,2015,82
13,OCT,2015,71
14,OCT,2015,75
15,OCT,2015,77
16,OCT,2015,80
17,OCT,2015,69
19,OCT,2015,73
20,OCT,2015,77
21,OCT,2015,79
22,OCT,2015,77
23,OCT,2015,74
24,OCT,2015,78
25,OCT,2015,72
26,OCT,2015,60
27,OCT,2015,71
28,OCT,2015,75
29,OCT,2015,76
30,OCT,2015,88
31,OCT,2015,75
1,OCT,2016,90
2,OCT,2016,67
3,OCT,2016,82
4,OCT,2016,78
5,OCT,2016,82
6,OCT,2016,78
