ID_ESTACION	Fecha	Precio gasolina 95	Precio gasóleo A	Precio gasóleo B	Precio bioetanol	Precio nuevo gasóleo A	Precio biodiesel	% éster metílico	% bioalcohol	Precio gasolina 98	Precio gas natural comprimido	Precio gas natural licuado	Precio gases licuados del petróleo	
417	02/04/2017	1,249	1,135			1,220				1,391				
418	02/04/2017	1,229	1,109	0,800						1,350				
419	02/04/2017	1,269	1,149			1,209				1,384				
420	02/04/2017	1,269	1,149			1,229				1,409				
421	02/04/2017	1,259	1,139	0,789										
422	02/04/2017	1,259	1,129							1,359				
423	02/04/2017	1,264	1,129	0,816		1,209								
424	02/04/2017	1,265	1,139			1,199				1,399				
425	02/04/2017	1,201	1,061											
426	02/04/2017	1,219	1,089			1,149				1,334				
427	02/04/2017	1,265	1,139			1,219				1,405				
428	02/04/2017	1,255	1,129			1,209				1,395				
429	02/04/2017	1,255	1,129			1,209				1,395			0,621	
430	02/04/2017	1,255	1,129			1,209				1,395				
431	02/04/2017	1,255	1,129			1,209				1,395				
432	02/04/2017	1,259	1,144			1,204				1,374				
433	02/04/2017	1,254	1,139			1,199				1,369				
434	02/04/2017	1,254	1,139			1,199				1,369				
435	02/04/2017	1,229	1,119	0,820										
436	02/04/2017		1,126	0,795										
437	02/04/2017	1,239	1,129	0,814		1,229								
438	02/04/2017	1,249	1,129	0,793		1,214								
439	02/04/2017	1,235	1,125			1,140				1,335				
440	02/04/2017	1,269	1,129			1,209				1,409				
441	02/04/2017	1,269	1,129	0,819		1,209				1,409				
442	02/04/2017	1,259	1,129	0,799		1,199				1,389				
443	02/04/2017	1,259	1,144	0,839		1,204				1,374				
444	02/04/2017	1,259	1,144	0,839		1,204				1,374				
445	02/04/2017	1,259	1,144	0,839		1,204								
446	02/04/2017	1,259	1,139			1,224				1,401				
447	02/04/2017	1,274	1,145	0,859		1,205				1,389				
448	02/04/2017	1,274	1,145	0,859		1,205				1,389				
449	02/04/2017	1,249	1,139			1,224				1,391				
450	02/04/2017	1,249	1,129			1,209				1,389				
451	02/04/2017	1,239	1,119			1,199								
452	02/04/2017	1,239	1,129			1,229								
453	02/04/2017	1,205	1,065											
454	02/04/2017	1,239	1,129			1,229				1,409				
455	02/04/2017	1,279	1,159			1,244				1,421				
456	02/04/2017	1,269	1,159			1,209				1,379				
457	02/04/2017	1,219	1,099			1,189				1,339				
458	02/04/2017	1,219	1,079			1,129								
459	02/04/2017	1,269	1,119	0,819		1,199				1,409				
460	02/04/2017	1,218	1,079											
461	02/04/2017	1,229	1,109							1,369				
462	02/04/2017	1,247	1,137			1,222				1,389				
463	02/04/2017	1,209	1,089											
464	02/04/2017	1,236	1,110	0,814						1,370				
465	02/04/2017	1,259	1,129							1,359				
466	02/04/2017	1,257	1,142			1,227				1,399				
467	02/04/2017	1,275	1,149			1,229								
468	02/04/2017	1,219	1,099	0,779		1,149				1,339				
469	02/04/2017	1,259	1,119			1,159				1,359				
470	02/04/2017	1,199	1,079			1,119				1,259				
471	02/04/2017	1,259	1,129			1,159				1,359				
472	02/04/2017	1,259	1,129			1,159				1,359				
473	02/04/2017	1,259	1,109			1,159				1,359				
474	02/04/2017	1,259	1,109			1,159				1,359				
475	02/04/2017	1,273	1,149	0,839		1,209				1,388				
476	02/04/2017	1,273	1,149			1,209				1,388				
477	02/04/2017	1,259	1,129			1,209				1,389			0,621	
478	02/04/2017	1,259	1,129			1,209				1,359				
479	02/04/2017	1,259	1,144	0,769		1,204								
480	02/04/2017	1,249	1,139	0,789						1,419				
481	02/04/2017	1,269	1,139	0,819		1,219								
482	02/04/2017	1,169	1,035	0,789		1,099								
483	02/04/2017	1,169	1,039			1,049								
484	02/04/2017	1,259	1,144			1,204				1,374				
485	02/04/2017	1,259	1,144			1,204				1,374				
486	02/04/2017	1,254	1,139			1,199				1,369				
487	02/04/2017	1,134	0,984			1,054				1,234				
488	02/04/2017	1,279	1,129			1,209				1,419				
489	02/04/2017	1,259	1,095			1,165				1,389				
490	02/04/2017	1,259	1,095			1,165				1,389				
491	02/04/2017	1,299	1,189			1,249				1,414				
492	02/04/2017	1,299	1,189			1,249				1,414				
493	02/04/2017	1,219	1,079											
494	02/04/2017	1,239	1,119			1,204				1,386				
495	02/04/2017	1,229	1,109											
496	02/04/2017	1,239	1,099	0,829						1,399				
497	02/04/2017	1,249	1,119	0,812		1,199				1,389				
498	02/04/2017	1,254	1,139			1,199				1,369				
499	02/04/2017	1,254	1,139			1,199				1,369				
500	02/04/2017	1,149	1,036											
501	02/04/2017	1,223	1,106			1,176				1,353				
502	02/04/2017	1,209	1,099			1,149								
503	02/04/2017	1,139	1,029			1,169				1,295				
504	02/04/2017	1,259	1,144	0,846		1,204								
505	02/04/2017	1,259	1,144			1,204				1,374				
506	02/04/2017	1,209	1,079											
507	02/04/2017	1,189	1,059	0,649										
508	02/04/2017	1,279	1,129	0,819		1,209				1,399				
509	02/04/2017	1,239	1,129			1,179				1,409				
510	02/04/2017	1,169	1,039											
511	02/04/2017	1,219	1,089							1,259				
512	02/04/2017	1,239	1,119			1,179				1,369				
513	02/04/2017	1,294	1,174			1,260				1,437				
514	02/04/2017	1,249	1,137	0,825		1,195				1,359				
515	02/04/2017	1,239	1,139	0,809		1,199				1,356				
516	02/04/2017	1,200	1,080											
517	02/04/2017										0,926	0,926		
518	02/04/2017		1,170	0,854										
519	02/04/2017	1,269	1,119			1,199				1,379				
520	02/04/2017	1,269	1,139			1,209				1,369			0,581	
521	02/04/2017	1,269	1,139			1,209				1,389				
522	02/04/2017	1,169	1,059			1,110								
523	02/04/2017	1,237	1,125			1,185				1,365				
524	02/04/2017	1,259	1,129			1,199				1,379				
525	02/04/2017	1,279	1,149			1,219				1,379				
526	02/04/2017	1,189	1,059			1,109				1,339				
527	02/04/2017	1,179	1,049			1,119				1,309				
528	02/04/2017	1,249	1,136			1,226				1,389				
529	02/04/2017	1,299	1,159			1,229				1,409				
530	02/04/2017	1,276	1,146			1,196				1,406				
531	02/04/2017	1,276	1,146			1,196								
532	02/04/2017	1,239	1,109			1,159				1,339				
533	02/04/2017	1,289	1,155			1,215				1,389			0,597	
534	02/04/2017	1,259	1,139			1,199				1,374			0,569	
535	02/04/2017	1,168	1,039			1,079								
536	02/04/2017	1,259	1,144			1,204				1,374				
537	02/04/2017	1,189	1,059											
538	02/04/2017	1,159	1,045											
539	02/04/2017	1,259	1,124			1,174				1,359				
